# ra,dec,dist
3.033170000000000073e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.034170000000000300e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.035170000000000528e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.036170000000000755e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.037170000000000982e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.038170000000001210e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.039170000000001437e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.040170000000001664e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.041170000000001892e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.042170000000002119e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.043170000000002346e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.044170000000002574e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.045170000000002801e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.046170000000003029e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.047170000000003256e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.048170000000003483e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.049170000000003711e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.050170000000003938e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.051170000000004165e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.052170000000004393e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.053170000000004620e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.054170000000004848e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.055170000000005075e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.056170000000005302e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.057170000000005530e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.058170000000005757e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.059170000000005984e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.060170000000006212e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.061170000000006439e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.062170000000006667e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.063170000000006894e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.064170000000007121e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.065170000000007349e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.066170000000007576e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.067170000000007803e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.068170000000008031e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.069170000000008258e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.070170000000008486e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.071170000000008713e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.072170000000008940e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.073170000000009168e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.074170000000009395e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.075170000000009622e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.076170000000009850e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.077170000000010077e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.078170000000010305e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.079170000000010532e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.080170000000010759e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.081170000000010987e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.082170000000011214e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.083170000000011441e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.084170000000011669e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.085170000000011896e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.086170000000012124e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.087170000000012351e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.088170000000012578e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.089170000000012806e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.090170000000013033e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.091170000000013260e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.092170000000013488e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.093170000000013715e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.094170000000013943e+02,3.632000000000000028e+01,1.593000000000000000e+03
